Image File,True class,Predicted class
4942e0a9c0527dc00319a39fc8f103e6.jpg,Beauty and Personal Care,Computers
4b59516432fbc3d61e8e58d547fde431.jpg,Kitchen & Dining,Home Decor & Festive Needs
b6c4cb6a29dcbaf7fa958f04c8215547.jpg,Home Furnishing,Baby Care
5749bae8ccead7997ebf370b6b081d07.jpg,Beauty and Personal Care,Home Furnishing
c3edc504d1b4f0ba6224fa53a43a7ad6.jpg,Baby Care,Home Decor & Festive Needs
db6c79a1d852944a89e157793f392d67.jpg,Computers,Home Decor & Festive Needs
23704dd51c975e845c574b044aae0a9f.jpg,Beauty and Personal Care,Computers
d627a270302d23eef773d05ad01fd03c.jpg,Baby Care,Home Furnishing
7bbcbd91b8865a9f7b254760e5e2e10a.jpg,Baby Care,Beauty and Personal Care
17582ae953860b5320683768b8e97d3a.jpg,Beauty and Personal Care,Kitchen & Dining
be0f39341d771aac57084970f1ed6425.jpg,Baby Care,Home Furnishing
a9b35b94610a3d7f4fa91f19693c5248.jpg,Home Decor & Festive Needs,Home Furnishing
afc829d45be38102afaa20f4bce2f627.jpg,Beauty and Personal Care,Home Decor & Festive Needs
a541b3aba326d7749b4c086c3cea9273.jpg,Baby Care,Home Furnishing
0906fd9cc604fbba05a502e01d763cd9.jpg,Baby Care,Home Furnishing
13de17e59a92f8bcaec8bf103bbff8c1.jpg,Beauty and Personal Care,Watches
3b465b02720ef7c930cb2e065a8fc05d.jpg,Baby Care,Home Furnishing
f79c9db3abd7faca714c92aeba9b6728.jpg,Baby Care,Home Decor & Festive Needs
e225be101bbad1ea9d031261ba4387b8.jpg,Home Decor & Festive Needs,Kitchen & Dining
9613f2f1e65fb1fc7e181e7f83c217da.jpg,Beauty and Personal Care,Home Furnishing
