Image File,True class,Predicted class
40d7d3d1961236dd814e15592fa52994.jpg,Home Decor & Festive Needs,Beauty and Personal Care
4942e0a9c0527dc00319a39fc8f103e6.jpg,Beauty and Personal Care,Computers
b7214d4c357e3f7acae72fcbe7d31afe.jpg,Computers,Beauty and Personal Care
8962b50b699ddf4712ad18d29c6a3862.jpg,Home Decor & Festive Needs,Kitchen & Dining
fa2e5f01bbb642c49e4b2e19d2b39dcf.jpg,Beauty and Personal Care,Computers
b6c4cb6a29dcbaf7fa958f04c8215547.jpg,Home Furnishing,Baby Care
5749bae8ccead7997ebf370b6b081d07.jpg,Beauty and Personal Care,Home Furnishing
4354b7418ee0fab2fd9f8eb493556529.jpg,Computers,Kitchen & Dining
2476ae5a5e045876aa08f5919cb3b91b.jpg,Home Furnishing,Baby Care
5ea8ddb8a5104c5d47c708e8a351e701.jpg,Baby Care,Kitchen & Dining
db6c79a1d852944a89e157793f392d67.jpg,Computers,Home Decor & Festive Needs
994f1d8ade16b9fddce3c127eb7f38ed.jpg,Home Furnishing,Baby Care
e0e261a0d4fd2ffdcbcad324e91a0dd4.jpg,Home Furnishing,Baby Care
23704dd51c975e845c574b044aae0a9f.jpg,Beauty and Personal Care,Computers
f79ad10ae634dcfdab6625790d5c5d54.jpg,Baby Care,Home Decor & Festive Needs
9da942796e9fac272db50b2f7546b94a.jpg,Computers,Watches
d627a270302d23eef773d05ad01fd03c.jpg,Baby Care,Home Furnishing
7bbcbd91b8865a9f7b254760e5e2e10a.jpg,Baby Care,Beauty and Personal Care
88650de379b6ecb085ecb3c2e6b42d4c.jpg,Watches,Home Furnishing
17582ae953860b5320683768b8e97d3a.jpg,Beauty and Personal Care,Home Decor & Festive Needs
597a9549a3e397d52dca62ee47b1f60a.jpg,Home Furnishing,Baby Care
f0938b0d88eac91deee6d5add54097d3.jpg,Home Decor & Festive Needs,Kitchen & Dining
86a39f77de21aa9654e8ea03335244fc.jpg,Computers,Beauty and Personal Care
63f2d92a3f5fc6cfc11e7f99d5798eac.jpg,Home Decor & Festive Needs,Baby Care
9b00cab981ab825158c05c9e54b866d4.jpg,Home Decor & Festive Needs,Baby Care
3ddd2f062730c2aea8bb8843d5a96125.jpg,Home Furnishing,Home Decor & Festive Needs
afc829d45be38102afaa20f4bce2f627.jpg,Beauty and Personal Care,Home Furnishing
a541b3aba326d7749b4c086c3cea9273.jpg,Baby Care,Home Furnishing
0906fd9cc604fbba05a502e01d763cd9.jpg,Baby Care,Home Furnishing
5912e037d12774bb73a2048f35a00009.jpg,Baby Care,Home Furnishing
3d8222014ec36292c1c143c5f5e12c29.jpg,Kitchen & Dining,Baby Care
f12a06b7dbfc55638afafcf8bb03d836.jpg,Home Decor & Festive Needs,Baby Care
3b465b02720ef7c930cb2e065a8fc05d.jpg,Baby Care,Kitchen & Dining
f79c9db3abd7faca714c92aeba9b6728.jpg,Baby Care,Home Decor & Festive Needs
112a8a56ee40ee31ea06fb7ff23b5c25.jpg,Home Furnishing,Home Decor & Festive Needs
a3dea07b2f7bf48276d32513091be717.jpg,Kitchen & Dining,Home Decor & Festive Needs
050ea3acb555bf641e7ae9b4f3ba684a.jpg,Home Furnishing,Computers
9613f2f1e65fb1fc7e181e7f83c217da.jpg,Beauty and Personal Care,Baby Care
90f86ac4065397340e8012261577c220.jpg,Kitchen & Dining,Computers
30ad2acaccdd2e1691a61c44079c2b5a.jpg,Computers,Home Decor & Festive Needs
02a53d335775b652f22f41b529b9d646.jpg,Beauty and Personal Care,Kitchen & Dining
